similarity,distance,group,character,sub
0.45511505007743835,2,2,0,0
0.3509305715560913,3,2,0,0
0.3842657506465912,4,2,0,0
0.3031388223171234,5,2,0,0
0.2466234564781189,6,2,0,0
0.5425891876220703,1,2,0,0
0.4526645839214325,2,2,0,0
0.5460382699966431,3,2,0,0
0.461199015378952,4,2,0,0
0.448111355304718,5,2,0,0
0.5059372186660767,1,2,0,0
0.4292803406715393,2,2,0,0
0.3599601089954376,3,2,0,0
0.3874722421169281,4,2,0,0
0.44844597578048706,1,2,0,0
0.36071571707725525,2,2,0,0
0.4960136413574219,3,2,0,0
0.5015859007835388,1,2,0,0
0.6643856167793274,2,2,0,0
0.4902283549308777,1,2,0,0
0.46809709072113037,1,2,0,1
0.5125790238380432,2,2,0,1
0.5275518894195557,3,2,0,1
0.5194281935691833,4,2,0,1
0.5300743579864502,5,2,0,1
0.5154647827148438,6,2,0,1
0.42321640253067017,7,2,0,1
0.42488545179367065,8,2,0,1
0.492387592792511,9,2,0,1
0.44848746061325073,1,2,0,1
0.6106122732162476,2,2,0,1
0.6619781255722046,3,2,0,1
0.547489583492279,4,2,0,1
0.5066204071044922,5,2,0,1
0.39007294178009033,6,2,0,1
0.6507436037063599,7,2,0,1
0.6747277975082397,8,2,0,1
0.7386307120323181,1,2,0,1
0.515586793422699,2,2,0,1
0.5829461216926575,3,2,0,1
0.5055970549583435,4,2,0,1
0.4910302758216858,5,2,0,1
0.45195597410202026,6,2,0,1
0.4650716185569763,7,2,0,1
0.6624244451522827,1,2,0,1
0.6153386235237122,2,2,0,1
0.6657896041870117,3,2,0,1
0.5252468585968018,4,2,0,1
0.7014907002449036,5,2,0,1
0.5546292662620544,6,2,0,1
0.5165636539459229,1,2,0,1
0.47968587279319763,2,2,0,1
0.44870370626449585,3,2,0,1
0.6050135493278503,4,2,0,1
0.6382778882980347,5,2,0,1
0.5000892877578735,1,2,0,1
0.39309898018836975,2,2,0,1
0.48257315158843994,3,2,0,1
0.46780630946159363,4,2,0,1
0.3394473195075989,1,2,0,1
0.6201339364051819,2,2,0,1
0.5433262586593628,3,2,0,1
0.31192684173583984,1,2,0,1
0.3590720295906067,2,2,0,1
0.5496050119400024,1,2,0,1
0.6350536346435547,1,2,0,2
0.6091318130493164,2,2,0,2
0.5442105531692505,3,2,0,2
0.5528233647346497,4,2,0,2
0.592592716217041,5,2,0,2
0.5341066122055054,6,2,0,2
0.5664085149765015,7,2,0,2
0.5382546782493591,8,2,0,2
0.4888891279697418,9,2,0,2
0.62192302942276,1,2,0,2
0.769320011138916,2,2,0,2
0.6871050596237183,3,2,0,2
0.6418288946151733,4,2,0,2
0.5327942371368408,5,2,0,2
0.5763688683509827,6,2,0,2
0.4689715504646301,7,2,0,2
0.6183714866638184,8,2,0,2
0.5667204260826111,1,2,0,2
